Chrom,Start,End,miRNA Name,Circ Name,Strand,Seed Category,ID,Software Matched,Validated,AGO
chr1,1022360,1022627,hsa-miR-1275/4665-5p,hsa_DE_SD_1,+,6mer,INT_TS_292,1,No,Yes
chr1,1022368,1022636,hsa-miR-140-3p.1,hsa_DE_SD_1,+,7mer-m8,INT_TS_298,1,No,Yes
chr1,1022376,1022644,hsa-miR-1587/3620-5p,hsa_DE_SD_1,+,7mer-m8,INT_TS_299,1,No,Yes
chr1,1022323,1022590,hsa-miR-199-5p,hsa_DE_SD_1,+,6mer,INT_TS_308,1,No,Yes
chr1,1022251,1022519,hsa-miR-214-3p/3619-5p,hsa_DE_SD_1,+,7mer-m8,INT_TS_311,1,No,Yes
chr1,1022430,1022697,hsa-miR-23-5p,hsa_DE_SD_1,+,6mer,INT_TS_314,1,No,Yes
chr1,1022216,1022485,hsa-miR-26-5p,hsa_DE_SD_1,+,8mer-1a,INT_TS_317,1,No,Yes
chr1,1022305,1022572,hsa-miR-27-3p,hsa_DE_SD_1,+,6mer,INT_TS_318,1,No,Yes
chr1,1022373,1022640,hsa-miR-3176/3922-3p,hsa_DE_SD_1,+,6mer,INT_TS_328,1,No,Yes
chr1,1022403,1022670,hsa-miR-3198/4309,hsa_DE_SD_1,+,6mer,INT_TS_332,1,No,Yes
chr1,1022309,1022578,hsa-miR-323b-5p/410-5p/494-5p,hsa_DE_SD_1,+,8mer-1a,INT_TS_334,1,No,Yes
chr1,1022357,1022625,hsa-miR-342-5p/4664-5p,hsa_DE_SD_1,+,7mer-m8,INT_TS_337,1,No,Yes
chr1,1022315,1022582,hsa-miR-3622a-3p/3622b-3p,hsa_DE_SD_1,+,6mer,INT_TS_340,1,No,Yes
chr1,1022407,1022674,hsa-miR-3929/4419b/4478,hsa_DE_SD_1,+,6mer,INT_TS_348,1,No,Yes
chr1,1022378,1022647,hsa-miR-4265/4296/4322,hsa_DE_SD_1,+,8mer-1a,INT_TS_352,1,No,Yes
chr1,1022377,1022646,hsa-miR-4417,hsa_DE_SD_1,+,8mer-1a,INT_TS_354,1,No,Yes
chr1,1022241,1022509,hsa-miR-4532,hsa_DE_SD_1,+,7mer-1a,INT_TS_364,1,No,Yes
chr1,1022376,1022644,hsa-miR-4675/4741,hsa_DE_SD_1,+,7mer-1a,INT_TS_371,1,No,Yes
chr1,1022436,1022704,hsa-miR-4691-5p/6792-3p,hsa_DE_SD_1,+,7mer-m8,INT_TS_375,1,No,Yes
chr1,1022296,1022563,hsa-miR-4716-3p/6794-5p,hsa_DE_SD_1,+,6mer,INT_TS_379,1,No,Yes
chr1,1022248,1022516,hsa-miR-484/3155,hsa_DE_SD_1,+,7mer-m8,INT_TS_383,1,No,Yes
chr1,1022218,1022485,hsa-miR-498,hsa_DE_SD_1,+,6mer,INT_TS_385,1,No,Yes
chr1,1022289,1022557,hsa-miR-515-5p/519e-5p,hsa_DE_SD_1,+,7mer-m8,INT_TS_390,1,No,Yes
chr1,1022267,1022534,hsa-miR-544a-5p,hsa_DE_SD_1,+,6mer,INT_TS_395,1,No,Yes
chr1,1022412,1022679,hsa-miR-6076/6797-3p,hsa_DE_SD_1,+,6mer,INT_TS_409,1,No,Yes
chr1,1022358,1022625,hsa-miR-608/4651,hsa_DE_SD_1,+,6mer,INT_TS_410,1,No,Yes
chr1,1022354,1022621,hsa-miR-6511-5p,hsa_DE_SD_1,+,6mer,INT_TS_420,1,No,Yes
chr1,1022359,1022627,hsa-miR-6751-5p/6803-5p,hsa_DE_SD_1,+,7mer-m8,INT_TS_431,1,No,Yes
chr1,1022375,1022644,hsa-miR-762/4492/4498/5001-5p,hsa_DE_SD_1,+,8mer-1a,INT_TS_463,1,No,Yes
chr1,1022390,1022674,hsa-let-7a-5p,hsa_DE_SD_1,+,No Seed,INT_RH_472,1,No,Yes
chr1,1022436,1022719,hsa-let-7a-3p,hsa_DE_SD_1,+,No Seed,INT_RH_473,1,No,Yes
chr1,1022244,1022528,hsa-let-7a-2-3p,hsa_DE_SD_1,+,No Seed,INT_RH_474,1,No,Yes
chr1,1022376,1022660,hsa-let-7b-5p,hsa_DE_SD_1,+,No Seed,INT_RH_475,1,No,Yes
chr1,1022436,1022720,hsa-let-7b-3p,hsa_DE_SD_1,+,No Seed,INT_RH_476,1,No,Yes
chr1,1022411,1022695,hsa-let-7c-5p,hsa_DE_SD_1,+,No Seed,INT_RH_477,1,No,Yes
chr1,1022244,1022528,hsa-let-7c-3p,hsa_DE_SD_1,+,No Seed,INT_RH_478,1,No,Yes
chr1,1022390,1022674,hsa-let-7d-5p,hsa_DE_SD_1,+,No Seed,INT_RH_479,1,No,Yes
chr1,1022256,1022540,hsa-let-7d-3p,hsa_DE_SD_1,+,No Seed,INT_RH_480,1,No,Yes
chr1,1022390,1022674,hsa-let-7e-5p,hsa_DE_SD_1,+,No Seed,INT_RH_481,1,No,Yes
chr1,1022429,1022713,hsa-let-7e-3p,hsa_DE_SD_1,+,No Seed,INT_RH_482,1,No,Yes
chr1,1022390,1022674,hsa-let-7f-5p,hsa_DE_SD_1,+,No Seed,INT_RH_483,1,No,Yes
chr1,1022436,1022720,hsa-let-7f-1-3p,hsa_DE_SD_1,+,No Seed,INT_RH_484,1,No,Yes
chr1,1022429,1022713,hsa-let-7f-2-3p,hsa_DE_SD_1,+,No Seed,INT_RH_485,1,No,Yes
chr1,1022225,1022509,hsa-miR-15a-5p,hsa_DE_SD_1,+,No Seed,INT_RH_486,1,No,Yes
chr1,1022257,1022541,hsa-miR-15a-3p,hsa_DE_SD_1,+,No Seed,INT_RH_487,1,No,Yes
chr1,1022249,1022533,hsa-miR-16-5p,hsa_DE_SD_1,+,No Seed,INT_RH_488,1,No,Yes
chr1,1022235,1022519,hsa-miR-16-1-3p,hsa_DE_SD_1,+,No Seed,INT_RH_489,1,No,Yes
chr1,1022249,1022534,hsa-miR-17-5p,hsa_DE_SD_1,+,No Seed,INT_RH_490,1,No,Yes
chr1,1022314,1022598,hsa-miR-17-3p,hsa_DE_SD_1,+,No Seed,INT_RH_491,1,No,Yes
chr1,1022302,1022587,hsa-miR-18a-5p,hsa_DE_SD_1,+,No Seed,INT_RH_492,1,No,Yes
chr1,1022272,1022556,hsa-miR-19a-5p,hsa_DE_SD_1,+,No Seed,INT_RH_494,1,No,Yes
chr1,1022235,1022520,hsa-miR-19a-3p,hsa_DE_SD_1,+,No Seed,INT_RH_495,1,No,Yes
chr1,1022235,1022520,hsa-miR-19b-3p,hsa_DE_SD_1,+,No Seed,INT_RH_497,1,No,Yes
chr1,1022413,1022697,hsa-miR-19b-2-5p,hsa_DE_SD_1,+,No Seed,INT_RH_498,1,No,Yes
chr1,1022249,1022534,hsa-miR-20a-5p,hsa_DE_SD_1,+,No Seed,INT_RH_499,1,No,Yes
chr1,1022389,1022673,hsa-miR-20a-3p,hsa_DE_SD_1,+,No Seed,INT_RH_500,1,No,Yes
chr1,1022265,1022549,hsa-miR-21-5p,hsa_DE_SD_1,+,No Seed,INT_RH_501,1,No,Yes
chr1,1022375,1022658,hsa-miR-21-3p,hsa_DE_SD_1,+,No Seed,INT_RH_502,1,No,Yes
chr1,1022201,1022485,hsa-miR-22-3p,hsa_DE_SD_1,+,No Seed,INT_RH_504,1,No,Yes
chr1,1022316,1022599,hsa-miR-23a-3p,hsa_DE_SD_1,+,No Seed,INT_RH_506,1,No,Yes
chr1,1022253,1022537,hsa-miR-24-1-5p,hsa_DE_SD_1,+,No Seed,INT_RH_507,1,No,Yes
