Chrom,Start,End,miRNA Name,Circ Name,Strand,Seed Category,ID,Software Matched,Validated,AGO
chr1,998993,999015,hsa-miR-29b-2-5p,ENST00000428771.6,-,No Seed,INT_RH_8377,1,No,Yes
chr1,999010,999033,hsa-miR-145-5p,ENST00000428771.6,-,No Seed,INT_RH_9353,1,No,Yes
chr1,998970,998991,hsa-miR-590-3p,ENST00000428771.6,-,No Seed,INT_RH_11305,1,No,Yes
chr1,999022,999042,hsa-miR-4326,ENST00000428771.6,-,No Seed,INT_RH_12281,1,No,Yes
chr1,998996,999013,hsa-miR-4486,ENST00000428771.6,-,No Seed,INT_RH_13257,1,No,Yes
chr1,998982,999006,hsa-miR-4793-5p,ENST00000428771.6,-,No Seed,INT_RH_14233,1,No,Yes
chr1,999030,999052,hsa-miR-5001-3p,ENST00000428771.6,-,No Seed,INT_RH_15209,1,No,Yes
chr1,999032,999053,hsa-miR-5196-3p,ENST00000428771.6,-,No Seed,INT_RH_16185,1,No,Yes
chr1,999001,999023,hsa-miR-6740-5p,ENST00000428771.6,-,No Seed,INT_RH_17161,1,No,Yes
chr1,998993,999015,hsa-miR-29b-2-5p,ENST00000304952.10,-,No Seed,INT_RH_8378,1,No,Yes
chr1,999010,999033,hsa-miR-145-5p,ENST00000304952.10,-,No Seed,INT_RH_9354,1,No,Yes
chr1,998970,998991,hsa-miR-590-3p,ENST00000304952.10,-,No Seed,INT_RH_11306,1,No,Yes
chr1,999022,999042,hsa-miR-4326,ENST00000304952.10,-,No Seed,INT_RH_12282,1,No,Yes
chr1,998996,999013,hsa-miR-4486,ENST00000304952.10,-,No Seed,INT_RH_13258,1,No,Yes
chr1,998982,999006,hsa-miR-4793-5p,ENST00000304952.10,-,No Seed,INT_RH_14234,1,No,Yes
chr1,999030,999052,hsa-miR-5001-3p,ENST00000304952.10,-,No Seed,INT_RH_15210,1,No,Yes
chr1,999032,999053,hsa-miR-5196-3p,ENST00000304952.10,-,No Seed,INT_RH_16186,1,No,Yes
chr1,999001,999023,hsa-miR-6740-5p,ENST00000304952.10,-,No Seed,INT_RH_17162,1,No,Yes
chr1,998993,999015,hsa-miR-29b-2-5p,ENST00000484667.2,-,No Seed,INT_RH_8379,1,No,Yes
chr1,999010,999033,hsa-miR-145-5p,ENST00000484667.2,-,No Seed,INT_RH_9355,1,No,Yes
chr1,998988,999009,hsa-miR-590-3p,ENST00000484667.2,-,No Seed,INT_RH_11307,1,No,Yes
chr1,999022,999042,hsa-miR-4326,ENST00000484667.2,-,No Seed,INT_RH_12283,1,No,Yes
